Year,Delegates Level,,,,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,Groups of Specialists,,,,,,,,,,,,,,,,,,,,Standing Scientific Groups,,,Standing Committees,,,,,Scientific Research Programs,,,,,,,,,,,,,
Year,Meeting location,President,VP1,VP2,VP3,VP4,Secretaries,Cartography,Exchange Info,Met & Physical Ocean,Program,Biology,Upper At Phys,Meteorol,Geology,Crustal Geophys,Oceanography,Comms,Nat Reports,Logistics,Geodesy & Cartog,Geomagnetism,Glaciology,Solid-Earth Geop,Human Biol Med,Geodesy & Geograp Info,Atmospheric Sci,Phys Chem Atmos,Solar-Terrestrial,Geoscience,Seals,Ice Shelf Drill,Late Cenoz,SO Ecosyst,EAMREA,AEIMEE,Ant Clim Res,Sea ice,Biomass exec,SO Ecology,Lithosphere,Cenozoic paleo,Env Affairs Conserv,GC and Antarctc,Neotect,Subglacial,Ant data,ADM,Reorg,JCADM,Geosciences,Life Sciences,Physical Sciences,Finance,Antarctic Treaty,Geographic Info,Data Managament,HASS,ACE,AGCS,EBA,ICESTAR,SALE,PAIS,SERCE,AAA,AntClim21,AntEco,Ant-ERA,AntClimNow,INSTANT,Ant_ICON
1992,Argentina,UK,Australia & China,USA,Argentina,,Brazil & Poland,,,,,Chile,,,UK,,,,,,,,Norway & Germany,UK,Australia,Australia,,USA,USA & UK,,USA,,,,,,,,,Germany,USA,USA,UK,USA,,,USA,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1993,,UK,China,USA,Argentina,,Poland,,,,,Chile,,,UK,,,,,,,,Germany,UK,Australia,Australia,,USA,UK,,USA,,,,,,,,,Germany,USA,USA,UK,USA,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1994,Italy,UK & Brazil,China,USA & Norway,Argentina & Australia,,Poland,,,,,Chile,,,UK,,,,,,,,Germany,UK,Australia,Australia,,USA,UK & South Africa,,USA,,,,,,,,,Germany & South Africa,USA,USA,UK,USA,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1995,,Brazil,China,Norway,Australia,,Poland,,,,,Chile,,,UK,,,,,,,,Germany,UK,Australia,Australia,,USA,South Africa,,USA,,,,,,,,,South Africa,USA,USA,UK,USA,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1996,United Kingdom,Brazil,China & USA,Norway,Australia,,Poland & New Zealand,,,,,Chile & Australia,,,UK & South Africa,,,,,,,,Germany,UK & Germany,Australia,Australia,,USA,South Africa,,USA,,,,,,,,,South Africa,USA,USA,UK,USA,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,
1997,,Brazil,USA,Norway,Australia,New Zealand,New Zealand,,,,,Australia,,,South Africa,,,,,,,,Germany,Germany,Australia,Australia,,USA,South Africa,,USA,,,,,,,,,,,,UK,USA,,,,Australia,,Australia,,,,,,,,,,,,,,,,,,,,,,
1998,Chile,Brazil & USA,USA & Chile,Norway & South Africa,Australia & France,New Zealand,,,,,,Australia & France,,,South Africa & Brazil,,,,,,,,Germany & China,Germany,Australia,Australia,,USA & UK,South Africa,,USA,,,,,,,,,,,,UK,USA & UK,USA,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,
1999,,USA,Chile,South Africa,France,New Zealand,,,,,,France,,,Brazil,,,,,,,,China,Germany,Australia,Australia,,UK,South Africa,,USA,,,,,,,,,,,,UK,UK,USA,,,,USA,Australia,,,,,,,,,,,,,,,,,,,,,,
2000,Japan,USA,Chile,South Africa,France,New Zealand & UK,,,,,,France,,,Brazil,,,,,,,,China,Germany,Australia & Italy,Australia,,UK,South Africa & Italy,Australia,USA,,,,,,,,,,,,UK,UK & Netherlands,USA,USA & Germany,,,USA,Australia & UK,,,,,,,,,,,,,,,,,,,,,,
2001,,USA,Chile,South Africa,France,UK,,,,,,France,,,Brazil,,,,,,,,China,,Italy,Australia,,UK,Italy,Australia,USA,,,,,,,,,,,,UK,Netherlands,USA,USA & Germany,,,,UK,,,,,,,,,,,,,,,,,,,,,,
