,year,country,value
405,2023,japan,1.151009826
406,2023,korea (rok),0.8218833302
407,2023,netherlands,2.9519304125
408,2023,new zealand,4.3010436241
409,2023,norway,3.2357411187
410,2023,peru,1.187813542
411,2023,poland,2.1692136673
412,2023,russian federation,0.2671849666
413,2023,south africa,0.7698212119
414,2023,spain,2.1297154936
415,2023,sweden,1.8182929685
416,2023,türkiye,0.3473303371
417,2023,ukraine,0.4803550502
418,2023,united kingdom,7.1730957815
419,2023,united states,8.2515129564
420,2023,uruguay,0.8218833302
421,2024,argentina,3.2137319764
422,2024,australia,4.8632375717
423,2024,belgium,1.7008182347
424,2024,brazil,0.3088750116
425,2024,chile,1.0627630125
426,2024,ecuador,0.3088750116
427,2024,finland,0.3349575695
428,2024,france,0.6602118804
429,2024,germany,1.4198096971
430,2024,india,0.3349575695
431,2024,italy,1.9926641183
432,2024,japan,1.0
433,2024,korea (rok),1.0
434,2024,netherlands,2.0013239571
435,2024,new zealand,4.3686954641
436,2024,norway,2.2933330104
437,2024,peru,0.6414722823
438,2024,poland,2.0
439,2024,south africa,0.4263929782
440,2024,sweden,0.699821584
441,2024,türkiye,0.7008182347
442,2024,united kingdom,3.0402357732
443,2024,united states,5.4305556163
444,2024,uruguay,0.2799613199
445,2025,argentina,3.6049898043
446,2025,australia,6.0791089988
447,2025,belgium,1.3168178599
448,2025,chile,0.7738764115
449,2025,china,1.3407483487
450,2025,finland,0.3090794514
451,2025,france,0.6389302729
452,2025,germany,0.3564717785
453,2025,italy,0.2893226549
454,2025,netherlands,1.8734777302
455,2025,new zealand,3.0369102297
456,2025,norway,1.0457344568
457,2025,peru,0.3173149383
458,2025,south africa,0.7540281887
459,2025,sweden,1.0140655595
460,2025,united kingdom,3.1226040316
461,2025,united states,2.3521513347
462,2025,uruguay,0.3168178599
