Document_Number,Subject,Status,Category,Topics,Title,Content
775,Site Guidelines for Visitors,Adopted 02/06/2022. No longer current:R 1 (2025),Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 2 (2022) - ATCM XLIV - CEP XXIV, Berlin","Site Guidelines for VisitorsThe Representatives,Recalling Resolutions 5 (2005), 2 (2006), 1 (2007), 2 (2008), 4 (2009), 1 (2010), 4 (2011), 4 (2012), 3 (2013), 4 (2014), 2 (2016), 1 (2018), 2 (2019) and 3 (2021) which adopted and updated lists of sites subject to Site Guidelines for Visitors (“Site Guidelines”);Believing that Site Guidelines enhance the provisions set out in the Guidance for those organising and conducting tourism and non-governmental activities in the Antarctic annexed to Recommendation XVIII-1 (1994);Confirming that the term “visitors” does not include scientists conducting research within such sites, or individuals engaged in official governmental activities;Noting that Site Guidelines have been developed based on the current levels and types of visits at each specific site, and aware that Site Guidelines would require review if there were any significant changes to the levels or types of visits to a site;Believing that the Site Guidelines for each site must be reviewed and revised promptly in response to changes in the levels and types of visits, or in response to any demonstrable or likely environmental impacts;Desiring to keep the list of sites subject to Site Guidelines and the Site Guidelines up to date;Recommend to their Governments that:1.	Wordie House, Winter Island be updated in the list of sites subject to Site Guidelines annexed to this Resolution and that the Site Guidelines for that site, as adopted by the Antarctic Treaty Consultative Meeting (“ATCM”), be added to the Site Guidelines;2.	Torgersen Island, Arthur Harbor be removed from the list of Site Guidelines;3.	the Secretariat of the Antarctic Treaty (“the Secretariat”) update its website accordingly;4.	all potential visitors are urged to ensure that they are fully conversant with and adhere to the relevant Site Guidelines; and5. 	the Secretariat post the text of Resolution 3 (2021) on its website in such a way that makes clear that it is no longer current."
774,Revised Guidelines for the assessment and management of Heritage in Antarctica,Adopted 02/06/2022,Area protection and management,Area protection and management,"Resolution 1 (2022) - ATCM XLIV - CEP XXIV, Berlin","Revised Guidelines for the assessment and management of Heritage in AntarcticaThe Representatives,Recalling that Article 8 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) provides for sites or monuments of recognised historic value to be listed as Historic Sites and Monuments (“HSM”), which “shall not be damaged, removed or destroyed”;Recalling also Measure 23 (2021), which adopted the reformatted List of HSM;Recalling further Resolution 3 (2009), which recommended that the Guidelines for the designation and protection of HSM be used by Parties as guidance on questions related to the designation, protection and preservation of historic sites, monuments, artefacts and other historic remains in Antarctica;Recalling furthermore Resolution 2 (2018), which recommended that the non-mandatory Guidelines for the assessment and management of Heritage in Antarctica be used by Parties as additional guidance on questions related to the assessment and management of sites/objects with heritage values in Antarctica;Noting the growing expertise in the management of Antarctic heritage values;Desiring to support Parties, where appropriate, to develop Conservation Management Plans to appropriately balance environmental protection and heritage conservation considerations in the management of HSM;Welcoming the work of the Committee for Environmental Protection (“CEP”) to develop guidance for conservation management planning for HSM, for inclusion in the Guidelines for the assessment and management of Heritage in Antarctica;Recommend that their Governments:1. 	replace the Guidelines annexed to Resolution 2 (2018) with the Guidelines for the assessment and management of Heritage in Antarctica annexed to this Resolution;2. 	use the revised Guidelines as additional guidance on questions related to the assessment and management of sites/objects with heritage values in Antarctica; and3. 	request the Secretariat of the Antarctic Treaty to post the text of Resolution 2 (2018) on its website in a way that makes clear that it is no longer current."
773,Information Exchange Requirements,Adopted 02/06/2022,Information exchange,Information exchange,"Decision 5 (2022) - ATCM XLIV - CEP XXIV, Berlin","Information Exchange RequirementsThe Representatives,Noting Articles III (1)(a) and VII (5) of the Antarctic Treaty;Conscious of the obligations to exchange information as contained in the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) and its Annexes;Conscious of Decisions of the Antarctic Treaty Consultative Meeting (“ATCM”) in relation to the information to be exchanged by Parties;Desiring to ensure that the exchange of information by Parties is conducted in the most efficient and timely manner;Desiring also that the information to be exchanged by Parties be readily identified to maximise its utility;Recalling Decision 4 (2012), which decided that the Parties would use the Electronic Information Exchange System (“EIES”) to exchange information in accordance with the Antarctic Treaty and the Protocol and its Annexes and which specified that Parties would continue to work with the Secretariat of the Antarctic Treaty (“the Secretariat”) to refine and improve the EIES;Noting that Decision 4 (2012) requires Parties to update relevant sections of the EIES regularly throughout the year, in order that such information be made available and accessible to Parties as soon as practicable;Decide:1.	that the Annex to this Decision represents a consolidated list of the information agreed to be exchanged by Parties;2.	to request the Secretariat to modify the EIES to reflect the information contained in the Annex to this Decision; and3.	that the Annex to Decision 7 (2021) is no longer current."
772,Letters on Antarctic Climate Change and the Environment: A Decadal Synopsis and Recommendations for Action report,Adopted 02/06/2022,Scientific cooperation,Scientific cooperation,"Decision 4 (2022) - ATCM XLIV - CEP XXIV, Berlin","Letters on Antarctic Climate Change and the Environment: A Decadal Synopsis and Recommendations for Action reportThe Representatives,Recognising the important role of the Antarctic region in global climate processes;Welcoming the Decadal Synopsis Report on Antarctic Climate Change and the Environment (“Decadal Synopsis”) by the Scientific Committee on Antarctic Research (“SCAR”); andConcerned by the effects and projected changes to Antarctic environments resulting from climate change outlined in the Decadal Synopsis;Decide to request the Chair of the Antarctic Treaty Consultative Meeting (“ATCM”) to send the letter annexed to this Decision forwarding the Decadal Synopsis to:1.	the Executive Secretary of the United Nations Framework Convention on Climate Change (“UNFCCC”) for conveyance to the President of the 27th Conference of the Parties to the UNFCCC;2.	the Secretary of the Intergovernmental Panel on Climate Change Secretariat (“IPCC”);3.	the Secretary-General of the World Meteorological Organization (“WMO”);4.	the Executive Secretary of the Intergovernmental Science-Policy Platform and Biodiversity and Ecosystem Services (“IPBES”); and5.	the Secretary-General of the International Maritime Organization (“IMO”)."
771,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Adopted 02/06/2022. No longer current:D 5 (2023),Institutional & legal matters,Institutional & legal matters,"Decision 3 (2022) - ATCM XLIV - CEP XXIV, Berlin","Multi-year Strategic Work Plan for the Antarctic Treaty Consultative MeetingThe Representatives,Reaffirming the values, objectives and principles contained in the Antarctic Treaty and its Protocol on Environmental Protection;Recalling Decision 3 (2012) on the Multi-year Strategic Work Plan (“the Plan”) and its principles;Bearing in mind that the Plan is complementary to the agenda of the Antarctic Treaty Consultative Meeting (“ATCM”) and that the Parties and other ATCM participants are encouraged to contribute as usual to other matters on the ATCM agenda;Decide:1. to adopt the Plan annexed to this Decision; and2. that the Plan annexed to Decision 5 (2021) is no longer current."
770,Liability arising from environmental emergencies,Adopted 02/06/2022. No longer current:D 6 (2025),Institutional & legal matters,Institutional & legal matters,"Decision 2 (2022) - ATCM XLIV - CEP XXIV, Berlin","Liability arising from environmental emergenciesThe Representatives,Recalling the undertaking in Article 16 of the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) to elaborate rules and procedures relating to liability for damage arising from activities taking place in the Antarctic Treaty area and covered by the Protocol;Recalling Measure 1 (2005) and the adoption of Annex VI to the Protocol, as a step towards the establishment of a liability regime in accordance with Article 16 of the Protocol;Noting that Annex VI has yet to become effective;Recalling Decisions 1 (2005), 4 (2010) and 5 (2015) regarding the annual evaluation of progress towards Annex VI becoming effective and the establishment of a time-frame for the resumption of negotiations on liability in accordance with Article 16 of the Protocol;Acknowledging the advice provided by the Committee for Environmental Protection in 2013 on environmental issues related to the practicality of specific instances of repair or remediation of environmental damage in the circumstances of Antarctica;Decide:1.	to continue to evaluate annually the progress made towards Annex VI becoming effective in accordance with Article IX of the Antarctic Treaty, and what action may be necessary and appropriate to encourage Parties to approve Annex VI in a timely manner;2.	to continue to share with one another information and experience, to support progress towards Annex VI becoming effective;3.	to take a decision in 2025 on the establishment of a time-frame for the resumption of negotiations on liability in accordance with Article 16 of the Protocol, or sooner if Parties so decide in light of progress made in approving Measure 1 (2005); and4.	that Decision 5 (2015) is no longer current."
769,"Secretariat Report, Programme and Budget",Adopted 02/06/2022,Institutional & legal matters,Institutional & legal matters,"Decision 1 (2022) - ATCM XLIV - CEP XXIV, Berlin","Secretariat Report, Programme and BudgetThe Representatives,Recalling Measure 1 (2003) on the establishment of the Secretariat of the Antarctic Treaty (“the Secretariat”);Bearing in mind the Financial Regulations for the Secretariat of the Antarctic Treaty annexed to Decision 4 (2003) and amended by Decision 6 (2005);Decide:1.	to approve the audited Financial Report for 2020/21 annexed to this Decision (Annex 1);2.	to take note of the Secretariat Report 2021/22, which includes the Provisional Financial Report for 2021/22, annexed to this Decision (Annex 2);3.	to take note of the Five Year Forward Budget Profile 2023/24-2027/28 and approve the Secretariat Programme 2022/23, including the Budget for 2022/23 and the Forecast Budget 2023/24, annexed to this Decision (Annex 3); and4.	to request that the Executive Secretary of the Secretariat open at the Antarctic Treaty Consultative Meeting (“ATCM”) forum a topic to report to the Consultative Parties on financial issues."
768,"Revised List of Antarctic Historic Sites and Monuments: Updating information for Historic Sites and Monuments No 26, 29, 36, 38, 39, 40, 41, 42, 43 and 93",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 18 (2022) - ATCM XLIV - CEP XXIV, Berlin","Revised List of Antarctic Historic Sites and Monuments: Updating information for Historic Sites and Monuments No 26, 29, 36, 38, 39, 40, 41, 42, 43 and 93The Representatives,Recalling the requirements of Article 8 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty to maintain a list of current Historic Sites and Monuments (“HSM”) and that such sites “shall not be damaged, removed or destroyed”;RecallingResolution 3 (2009), which adopted the Guidelines for the designation and protection of Historic Sites and Monuments;Resolution 2 (2018), which adopted the Guidelines for the assessment and management of Heritage in Antarctica;Recommendation VII-9, which designated HSM 26, 29, 36, 38, 39, 40, 41, 42 and 43, and Measure 5 (1997) which amended HSM 41;Measure 12 (2019), which added the wreck of the Endurance to the list of HSM;Decision 1 (2019), which added new information fields to the List of HSM;Decision 1 (2021), which sets out the information contained in fields that continue to be a formal part of the List of HSM and that changes to these fields would require adoption through a Measure; andMeasure 23 (2021), which adopted the reformatted List of HSM;Recommend to their Governments the following Measure for approval in accordance with paragraph 2 of Article 8 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the information in the List of Historic Sites and Monuments (“HSM”) for HSM 93, Wreck of Endurance, be amended as in the table below:No: 93Name: Wreck of EnduranceDescription: Wreck of the vessel Endurance, including all artefacts contained within or formerly contained within the ship, which may be lying on the seabed in or near the wreck within a 500m radius. This includes all fixtures and fittings associated with the ship, including ship’s wheel, bell, etc. The designation also includes all items of personal possessions left on the ship by the ship’s company at the time of its sinking.Location: 68°44'21'' S, 52°19'47'' WPhysical features of the environment and cultural and local context: The wreck is located on the floor of the Weddell Sea at a depth of 3,008m.2. the information in the List of HSM for HSM 26, 29, 36, 38, 39, 40, 41, 42 and 43, be amended as in the table below:No	Name	                                                                 Location26	Ceremonial facilities of the San Martín Base	68°07'47""S, 067°06'05""W29	Lighthouse ‘Primero de Mayo”	                                64°17’58''S, 62°58’08''W36	Dallmann Expedition Plaque	                                62°14'26""S, 058°40'45""W38	Snow hill Swedish hut	                                64°21'50""S, 056°59'32""W39	Hope Bay stone hut	                                                63°23'44""S, 056°59'51""W40	Ceremonial facilities of the Esperanza Base	63°23'49""S, 056°59'57""W41	Historical remains of Antarctic’s crew in Paulet island  63°34'29""S, 055°47'06""W42	Laurie island observatories	                                60°44'18""S, 044°44'19""W43	Belgrano station’s cross	                                77°52'34""S, 034°37'43""W3.	the Secretariat of the Antarctic Treaty be requested to update the list annexed to Measure 23 (2021) and make it available on its website."
767,"Antarctic Specially Protected Area No 164 (Scullin and Murray Monoliths, Mac.Robertson Land): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 17 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 164 (Scullin and Murray Monoliths, Mac.Robertson Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2005), which designated Scullin and Murray Monoliths, Mac.Robertson Land, East Antarctica as ASPA 164 and annexed a Management Plan for the Area;Measures 13 (2010) and 16 (2015), which adopted a revised Management Plan for ASPA 164;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 164;Desiring to replace the existing Management Plan for ASPA 164 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 164 (Scullin and Murray Monoliths, Mac.Robertson Land), which is annexed to this Measure, be approved; andthe Management Plan for Antarctic Specially Protected Area No 164 annexed to Measure 16 (2015) be revoked."
766,"Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 16 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation IV-11 (1966), which designated Cape Shirreff, Livingston Island, South Shetland Islands as Specially Protected Area (“SPA”) No 11;Recommendation XV-7 (1989), which terminated SPA 11 and redesignated the Area as Site of Special Scientific Interest (“SSSI”) No 32 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 32;Decision 1 (2002), which renamed and renumbered SSSI 32 as ASPA 149;Measures 2 (2005), 7 (2011) and 7 (2016), which adopted a revised Management Plan for ASPA 149;Recalling that Recommendation XV-7 (1989) and Measure 2 (2000) did not become effective, and that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendation XV-7 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 149;Desiring to replace the existing Management Plan for ASPA 149 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved; andthe Management Plan for Antarctic Specially Protected Area No 149 annexed to Measure 7 (2016) be revoked."
765,"Antarctic Specially Protected Area No 140 (Parts of Deception Island, South Shetland Islands): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 15 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 140 (Parts of Deception Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Shores of Port Foster, Deception Island, South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 21 and annexed a Management Plan for the Site;Resolution 7 (1995) and Measure 2 (2000), which extended the expiry date for SSSI 21;Decision 1 (2002), which renamed and renumbered SSSI 21 as ASPA 140;Measures 3 (2005), 8 (2012) and 6 (2017), which adopted a revised Management Plan for ASPA 140;Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011) and that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 140;Desiring to replace the existing Management Plan for ASPA 140 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 140 (Parts of Deception Island, South Shetland Islands), which is annexed to this Measure, be approved; and2.	the Management Plan for Antarctic Specially Protected Area No 140 annexed to Measure 6 (2017) be revoked."
764,"Antarctic Specially Protected Area No 139 (Biscoe Point, Anvers Island, Palmer Archipelago): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 14 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 139 (Biscoe Point, Anvers Island, Palmer Archipelago): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Biscoe Point, Anvers Island, Palmer Archipelago as Site of Special Scientific Interest (“SSSI”) No 20 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 20;Decision 1 (2002), which renamed and renumbered SSSI 20 as ASPA 139;Measures 2 (2004), 7 (2010) and 6 (2014), which adopted a revised Management Plan for ASPA 139;Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 139;Desiring to replace the existing Management Plan for ASPA 139 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 139 (Biscoe Point, Anvers Island, Palmer Archipelago), which is annexed to this Measure, be approved; andthe Management Plan for Antarctic Specially Protected Area No 139 annexed to Measure 6 (2014) be revoked."
763,"Antarctic Specially Protected Area No 133 (Harmony Point, Nelson Island, South Shetland Islands): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 13 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 133 (Harmony Point, Nelson Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Harmony Point, Nelson Island, South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 14;Resolution 7 (1995), which extended the expiry date for SSSI 14;Measure 3 (1997), which adopted a revised Management Plan for SSSI 14;Decision 1 (2002), which renamed and renumbered SSSI 14 as ASPA 133;Measures 2 (2005) and 7 (2012), which annexed a revised Management Plan for ASPA 133;Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011);Recalling that Measure 3 (1997) did not become effective and was withdrawn by Measure 6  (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 133;Desiring to replace the existing Management Plan for ASPA 133 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 133 (Harmony Point, Nelson Island, South Shetland Islands), which is annexed to this Measure, be approved; and2.	the Management Plan for Antarctic Specially Protected Area No 133 annexed to Measure 7 (2012) be revoked."
762,"Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 12 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Rothera Point, Adelaide Island as Site of Special Scientific Interest (“SSSI”) No 9 and annexed a Management Plan for the Site;Resolution 7 (1995), which extended the expiry date of SSSI 9;Measure 1 (1996), which annexed a revised description and a revised Management Plan for SSSI 9;Decision 1 (2002), which renamed and renumbered SSSI 9 as ASPA 129;Measure 1 (2007), which adopted a revised Management Plan for ASPA 129 and revised its boundaries;Measures 6 (2012) and 5 (2017), which adopted a revised Management Plan for ASPA 129;Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011) and that Measure 1 (1996) did not become effective and was withdrawn by Measure 10 (2008);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 129;Desiring to replace the existing Management Plan for ASPA 129 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island), which is annexed to this Measure, be approved; and2.	the Management Plan for Antarctic Specially Protected Area No 129 annexed to Measure 5 (2017) be revoked."
761,Antarctic Specially Protected Area No 127 (Haswell Island): Revised Management Plan,Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 11 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 127 (Haswell Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation VIII-4 (1975), which designated Haswell Island as Site of Special Scientific Interest (“SSSI”) No 7 and annexed a Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985), XVI-7 (1987) and Measure 3 (2001), which extended the expiry date of SSSI 7;Decision 1 (2002), which renamed and renumbered SSSI 7 as ASPA 127;Measure 4 (2005), which extended the expiry date of the Management Plan for ASPA 127;Measures 1 (2006), 5 (2011) and 5 (2016), which adopted a revised Management Plan for ASPA 127;Recalling that Recommendations VIII-4 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985) and XVI-7 (1987) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 127;Desiring to replace the existing Management Plan for ASPA 127 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 127 (Haswell Island), which is annexed to this Measure, be approved; and2.	the Management Plan for Antarctic Specially Protected Area No 127 annexed to Measure 5 (2016) be revoked."
760,"Antarctic Specially Protected Area No 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 10 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation IV-10 (1966), which designated Byers Peninsula, Livingston Island, South Shetland Islands as Specially Protected Area (“SPA”) No 10;Recommendation VIII-2 (1975), which terminated SPA 10, and Recommendation VIII-4 (1975), which redesignated the Area as Site of Special Scientific Interest (“SSSI”) No 6 and annexed the first Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985) and Measure 3 (2001), which extended the expiry date of SSSI 6;Recommendation XVI-5 (1991), which adopted a revised Management Plan for SSSI 6;Decision 1 (2002), which renamed and renumbered SSSI 6 as ASPA 126;Measures 1 (2002), 4 (2011) and 4 (2016), which adopted a revised Management Plan for ASPA 126;Recalling that Recommendation XVI-5 (1991) and Measure 3 (2001) had not become effective and were withdrawn by Measure 4 (2011);Recalling that Recommendations VIII-2 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985) and XVI-5 (1991) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 126;Desiring to replace the existing Management Plan for ASPA 126 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 126 (Byers Peninsula, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved; and2.	the Management Plan for Antarctic Specially Protected Area No 126 annexed to Measure 4 (2016) be revoked."
759,"Antarctic Specially Protected Area No 124 (Cape Crozier, Ross Island): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 9 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 127 (Haswell Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation VIII-4 (1975), which designated Haswell Island as Site of Special Scientific Interest (“SSSI”) No 7 and annexed a Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985), XVI-7 (1987) and Measure 3 (2001), which extended the expiry date of SSSI 7;Decision 1 (2002), which renamed and renumbered SSSI 7 as ASPA 127;Measure 4 (2005), which extended the expiry date of the Management Plan for ASPA 127;Measures 1 (2006), 5 (2011) and 5 (2016), which adopted a revised Management Plan for ASPA 127;Recalling that Recommendations VIII-4 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985) and XVI-7 (1987) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 127;Desiring to replace the existing Management Plan for ASPA 127 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 127 (Haswell Island), which is annexed to this Measure, be approved; andthe Management Plan for Antarctic Specially Protected Area No 127 annexed to Measure 5 (2016) be revoked."
758,"Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Effective 31/10/2022 (Fast Approval),Area protection and management,Area protection and management,"Measure 8 (2022) - ATCM XLIV - CEP XXIV, Berlin","Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation VIII-4 (1975), which designated Arrival Heights, Hut Point Peninsula, Ross Island as Site of Special Scientific Interest (“SSSI”) No 2 and annexed a Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985), XIV-4 (1987), Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 2;Decision 1 (2002), which renamed and renumbered SSSI 2 as ASPA 122;Measures 2 (2004), 3 (2011) and 3 (2016), which adopted a revised Management Plan for ASPA 122;Recalling that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendations VIII-4 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985), XIV-4 (1987) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 122;Desiring to replace the existing Management Plan for ASPA 122 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:the revised Management Plan for Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island), which is annexed to this Measure, be approved; andthe Management Plan for Antarctic Specially Protected Area No 122 annexed to Measure 3 (2016) be revoked."
